	PRJEB41560	PRJNA182108	PRJNA419791	PRJNA427493	PRJNA549834	PRJNA590281	PRJNA590595	PRJNA598295	PRJNA628529	PRJNA684430	PRJNA776107	PRJNA854329	PRJNA882367	PRJNA885747	PRJNA937025	PRJNA975299	count
31	False	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	4
32	False	False	False	False	False	False	False	False	True	False	False	False	True	True	False	False	1
33	False	False	False	False	False	False	False	False	True	False	False	True	False	False	False	False	16
34	False	False	False	False	False	False	False	False	True	False	False	True	False	False	True	False	3
35	False	False	False	False	False	False	False	False	True	False	False	True	False	True	False	False	5
36	False	False	False	False	False	False	False	False	True	False	False	True	False	True	True	False	1
37	False	False	False	False	False	False	False	False	True	False	False	True	True	False	False	False	4
38	False	False	False	False	False	False	False	False	True	False	False	True	True	False	True	False	1
39	False	False	False	False	False	False	False	False	True	False	False	True	True	False	True	True	1
40	False	False	False	False	False	False	False	False	True	False	False	True	True	True	False	False	1
41	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	13
42	False	False	False	False	False	False	False	False	True	False	True	False	False	False	True	False	2
43	False	False	False	False	False	False	False	False	True	False	True	False	False	True	False	False	5
44	False	False	False	False	False	False	False	False	True	False	True	False	False	True	False	True	1
45	False	False	False	False	False	False	False	False	True	False	True	False	True	False	False	False	1
46	False	False	False	False	False	False	False	False	True	False	True	True	False	False	False	False	8
47	False	False	False	False	False	False	False	False	True	False	True	True	False	False	False	True	1
48	False	False	False	False	False	False	False	False	True	False	True	True	False	False	True	False	1
49	False	False	False	False	False	False	False	False	True	False	True	True	False	True	False	False	3
50	False	False	False	False	False	False	False	False	True	False	True	True	False	True	True	False	4
51	False	False	False	False	False	False	False	False	True	False	True	True	False	True	True	True	1
52	False	False	False	False	False	False	False	False	True	False	True	True	True	False	False	False	1
53	False	False	False	False	False	False	False	False	True	False	True	True	True	True	False	False	3
54	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	2
55	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	True	1
56	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	1
57	False	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	1
58	False	False	False	False	False	False	False	True	False	False	True	False	False	True	False	False	1
59	False	False	False	False	False	False	False	True	False	False	True	True	False	True	False	False	1
60	False	False	False	False	False	False	False	True	True	False	False	True	False	False	False	False	1
61	False	False	False	False	False	False	False	True	True	False	False	True	False	False	True	False	1
62	False	False	False	False	False	False	False	True	True	False	True	False	False	True	False	True	1
63	False	False	False	False	False	False	False	True	True	False	True	True	False	False	False	False	1
64	False	False	False	False	False	False	False	True	True	False	True	True	False	True	True	True	1
65	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	88
66	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True	1
67	False	False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	34
68	False	False	False	False	False	False	True	False	False	False	False	False	False	True	False	False	5
69	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	7
70	False	False	False	False	False	False	True	False	False	False	False	False	True	False	True	False	5
71	False	False	False	False	False	False	True	False	False	False	False	True	False	False	False	False	38
72	False	False	False	False	False	False	True	False	False	False	False	True	False	False	False	True	2
73	False	False	False	False	False	False	True	False	False	False	False	True	False	False	True	False	10
74	False	False	False	False	False	False	True	False	False	False	False	True	False	False	True	True	1
75	False	False	False	False	False	False	True	False	False	False	False	True	False	True	False	False	3
76	False	False	False	False	False	False	True	False	False	False	False	True	False	True	True	False	3
77	False	False	False	False	False	False	True	False	False	False	False	True	True	False	False	False	5
78	False	False	False	False	False	False	True	False	False	False	False	True	True	False	True	False	2
79	False	False	False	False	False	False	True	False	False	False	False	True	True	True	False	False	1
80	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	4
81	False	False	False	False	False	False	True	False	False	False	True	False	False	False	True	False	2
82	False	False	False	False	False	False	True	False	False	False	True	False	False	True	True	False	1
83	False	False	False	False	False	False	True	False	False	False	True	False	True	False	False	False	1
84	False	False	False	False	False	False	True	False	False	False	True	True	False	False	False	False	9
85	False	False	False	False	False	False	True	False	False	False	True	True	False	False	True	False	2
86	False	False	False	False	False	False	True	False	False	False	True	True	False	True	False	False	1
87	False	False	False	False	False	False	True	False	False	False	True	True	False	True	False	True	1
88	False	False	False	False	False	False	True	False	False	False	True	True	False	True	True	False	1
89	False	False	False	False	False	False	True	False	False	False	True	True	True	False	False	False	2
90	False	False	False	False	False	False	True	False	False	False	True	True	True	True	False	False	1
91	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	7
92	False	False	False	False	False	False	True	False	True	False	False	False	False	False	True	False	1
93	False	False	False	False	False	False	True	False	True	False	False	False	True	False	False	False	4
94	False	False	False	False	False	False	True	False	True	False	False	False	True	True	False	False	1
95	False	False	False	False	False	False	True	False	True	False	False	True	False	False	False	False	8
96	False	False	False	False	False	False	True	False	True	False	False	True	False	False	True	False	8
97	False	False	False	False	False	False	True	False	True	False	False	True	False	False	True	True	1
98	False	False	False	False	False	False	True	False	True	False	False	True	False	True	False	False	5
99	False	False	False	False	False	False	True	False	True	False	False	True	False	True	True	False	1
100	False	False	False	False	False	False	True	False	True	False	False	True	True	False	False	False	1
101	False	False	False	False	False	False	True	False	True	False	False	True	True	True	False	False	2
102	False	False	False	False	False	False	True	False	True	False	True	False	False	False	False	False	2
103	False	False	False	False	False	False	True	False	True	False	True	False	False	False	True	False	1
104	False	False	False	False	False	False	True	False	True	False	True	False	False	True	False	False	2
105	False	False	False	False	False	False	True	False	True	False	True	False	False	True	True	False	2
106	False	False	False	False	False	False	True	False	True	False	True	False	True	True	True	False	2
107	False	False	False	False	False	False	True	False	True	False	True	True	False	False	False	False	4
108	False	False	False	False	False	False	True	False	True	False	True	True	False	False	True	False	4
109	False	False	False	False	False	False	True	False	True	False	True	True	False	True	True	False	1
110	False	False	False	False	False	False	True	False	True	False	True	True	True	False	False	False	2
111	False	False	False	False	False	False	True	False	True	False	True	True	True	True	False	False	1
112	False	False	False	False	False	False	True	True	False	False	False	True	False	False	False	False	1
113	False	False	False	False	False	False	True	True	False	False	True	False	False	False	False	False	1
114	False	False	False	False	False	False	True	True	False	False	True	True	False	False	False	False	1
115	False	False	False	False	False	False	True	True	True	False	False	False	False	False	True	False	1
116	False	False	False	False	False	False	True	True	True	False	False	False	True	True	True	False	1
117	False	False	False	False	False	False	True	True	True	False	False	True	False	False	True	False	1
118	False	False	False	False	False	False	True	True	True	False	False	True	False	True	False	False	3
119	False	False	False	False	False	False	True	True	True	False	True	True	True	False	True	False	1
120	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	50
121	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True	1
122	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True	False	11
123	False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	False	3
124	False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	True	1
125	False	False	False	False	False	True	False	False	False	False	False	False	False	True	True	False	2
126	False	False	False	False	False	True	False	False	False	False	False	False	False	True	True	True	2
127	False	False	False	False	False	True	False	False	False	False	False	False	True	False	False	False	5
128	False	False	False	False	False	True	False	False	False	False	False	False	True	False	True	False	1
129	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	25
130	False	False	False	False	False	True	False	False	False	False	False	True	False	False	True	False	8
131	False	False	False	False	False	True	False	False	False	False	False	True	False	False	True	True	2
132	False	False	False	False	False	True	False	False	False	False	False	True	False	True	False	False	1
133	False	False	False	False	False	True	False	False	False	False	False	True	False	True	True	False	2
134	False	False	False	False	False	True	False	False	False	False	False	True	True	False	False	False	1
135	False	False	False	False	False	True	False	False	False	False	False	True	True	False	True	False	1
136	False	False	False	False	False	True	False	False	False	False	True	False	False	False	False	False	5
137	False	False	False	False	False	True	False	False	False	False	True	False	False	False	True	False	1
138	False	False	False	False	False	True	False	False	False	False	True	False	False	True	False	False	2
139	False	False	False	False	False	True	False	False	False	False	True	False	False	True	True	False	1
140	False	False	False	False	False	True	False	False	False	False	True	False	True	False	False	False	1
141	False	False	False	False	False	True	False	False	False	False	True	True	False	False	False	False	1
142	False	False	False	False	False	True	False	False	False	False	True	True	False	False	False	True	1
143	False	False	False	False	False	True	False	False	False	False	True	True	False	False	True	False	4
144	False	False	False	False	False	True	False	False	False	False	True	True	False	True	False	False	1
145	False	False	False	False	False	True	False	False	False	False	True	True	False	True	True	False	1
146	False	False	False	False	False	True	False	False	False	False	True	True	False	True	True	True	1
147	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	12
148	False	False	False	False	False	True	False	False	True	False	False	False	False	False	True	False	2
149	False	False	False	False	False	True	False	False	True	False	False	False	False	True	False	False	1
150	False	False	False	False	False	True	False	False	True	False	False	False	False	True	False	True	1
151	False	False	False	False	False	True	False	False	True	False	False	False	False	True	True	False	1
152	False	False	False	False	False	True	False	False	True	False	False	False	True	False	False	False	1
153	False	False	False	False	False	True	False	False	True	False	False	False	True	False	True	False	1
154	False	False	False	False	False	True	False	False	True	False	False	True	False	False	False	False	6
155	False	False	False	False	False	True	False	False	True	False	False	True	False	False	True	False	3
156	False	False	False	False	False	True	False	False	True	False	False	True	False	True	False	False	1
157	False	False	False	False	False	True	False	False	True	False	False	True	False	True	True	False	1
158	False	False	False	False	False	True	False	False	True	False	False	True	False	True	True	True	2
159	False	False	False	False	False	True	False	False	True	False	False	True	True	False	False	False	2
160	False	False	False	False	False	True	False	False	True	False	True	False	False	False	False	False	3
161	False	False	False	False	False	True	False	False	True	False	True	False	False	False	False	True	1
162	False	False	False	False	False	True	False	False	True	False	True	False	False	False	True	False	1
163	False	False	False	False	False	True	False	False	True	False	True	False	False	True	False	False	2
164	False	False	False	False	False	True	False	False	True	False	True	False	False	True	False	True	1
165	False	False	False	False	False	True	False	False	True	False	True	False	False	True	True	False	2
166	False	False	False	False	False	True	False	False	True	False	True	False	False	True	True	True	1
167	False	False	False	False	False	True	False	False	True	False	True	False	True	True	False	False	1
168	False	False	False	False	False	True	False	False	True	False	True	True	False	False	False	False	6
169	False	False	False	False	False	True	False	False	True	False	True	True	False	False	True	False	1
170	False	False	False	False	False	True	False	False	True	False	True	True	False	True	False	False	2
171	False	False	False	False	False	True	False	False	True	False	True	True	False	True	True	False	4
172	False	False	False	False	False	True	False	False	True	False	True	True	True	False	False	False	2
173	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	1
174	False	False	False	False	False	True	False	True	False	False	False	False	False	True	False	False	1
175	False	False	False	False	False	True	False	True	False	False	False	True	False	False	False	False	1
176	False	False	False	False	False	True	False	True	False	False	False	True	False	False	False	True	1
177	False	False	False	False	False	True	False	True	False	False	False	True	False	False	True	False	2
178	False	False	False	False	False	True	False	True	False	False	True	False	False	True	False	False	1
179	False	False	False	False	False	True	False	True	False	False	True	False	True	False	False	True	1
180	False	False	False	False	False	True	False	True	False	False	True	True	False	True	False	False	2
181	False	False	False	False	False	True	False	True	True	False	False	False	False	True	True	False	1
182	False	False	False	False	False	True	False	True	True	False	False	True	False	False	False	False	1
183	False	False	False	False	False	True	False	True	True	False	False	True	False	True	False	False	1
184	False	False	False	False	False	True	False	True	True	False	False	True	True	True	False	False	1
185	False	False	False	False	False	True	False	True	True	False	True	False	False	True	True	True	1
186	False	False	False	False	False	True	False	True	True	False	True	True	False	True	False	False	1
187	False	False	False	False	False	True	False	True	True	False	True	True	True	False	True	True	1
188	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	59
189	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	True	3
190	False	False	False	False	False	True	True	False	False	False	False	False	False	False	True	False	30
191	False	False	False	False	False	True	True	False	False	False	False	False	False	False	True	True	1
192	False	False	False	False	False	True	True	False	False	False	False	False	False	True	False	False	3
193	False	False	False	False	False	True	True	False	False	False	False	False	False	True	True	False	6
194	False	False	False	False	False	True	True	False	False	False	False	False	False	True	True	True	1
195	False	False	False	False	False	True	True	False	False	False	False	False	True	False	False	False	2
196	False	False	False	False	False	True	True	False	False	False	False	False	True	True	False	False	1
197	False	False	False	False	False	True	True	False	False	False	False	False	True	True	True	False	1
198	False	False	False	False	False	True	True	False	False	False	False	True	False	False	False	False	34
199	False	False	False	False	False	True	True	False	False	False	False	True	False	False	False	True	3
200	False	False	False	False	False	True	True	False	False	False	False	True	False	False	True	False	19
201	False	False	False	False	False	True	True	False	False	False	False	True	False	False	True	True	1
202	False	False	False	False	False	True	True	False	False	False	False	True	False	True	False	False	7
203	False	False	False	False	False	True	True	False	False	False	False	True	False	True	False	True	1
204	False	False	False	False	False	True	True	False	False	False	False	True	False	True	True	False	5
205	False	False	False	False	False	True	True	False	False	False	False	True	False	True	True	True	1
206	False	False	False	False	False	True	True	False	False	False	False	True	True	False	False	False	3
207	False	False	False	False	False	True	True	False	False	False	False	True	True	False	True	False	4
208	False	False	False	False	False	True	True	False	False	False	False	True	True	True	False	False	1
209	False	False	False	False	False	True	True	False	False	False	False	True	True	True	True	False	1
210	False	False	False	False	False	True	True	False	False	False	True	False	False	False	False	False	7
211	False	False	False	False	False	True	True	False	False	False	True	False	False	False	True	False	3
212	False	False	False	False	False	True	True	False	False	False	True	False	False	True	False	False	3
213	False	False	False	False	False	True	True	False	False	False	True	True	False	False	False	False	9
214	False	False	False	False	False	True	True	False	False	False	True	True	False	False	True	False	4
215	False	False	False	False	False	True	True	False	False	False	True	True	False	True	False	False	4
216	False	False	False	False	False	True	True	False	False	False	True	True	False	True	True	False	2
217	False	False	False	False	False	True	True	False	False	False	True	True	True	False	False	False	1
218	False	False	False	False	False	True	True	False	False	False	True	True	True	False	False	True	1
219	False	False	False	False	False	True	True	False	False	False	True	True	True	False	True	False	2
220	False	False	False	False	False	True	True	False	False	False	True	True	True	True	True	False	1
221	False	False	False	False	False	True	True	False	True	False	False	False	False	False	False	False	9
222	False	False	False	False	False	True	True	False	True	False	False	False	False	False	True	False	8
223	False	False	False	False	False	True	True	False	True	False	False	False	False	False	True	True	1
224	False	False	False	False	False	True	True	False	True	False	False	False	False	True	False	False	1
225	False	False	False	False	False	True	True	False	True	False	False	False	False	True	True	False	4
226	False	False	False	False	False	True	True	False	True	False	False	False	False	True	True	True	1
227	False	False	False	False	False	True	True	False	True	False	False	False	True	False	False	False	3
228	False	False	False	False	False	True	True	False	True	False	False	False	True	False	True	False	2
229	False	False	False	False	False	True	True	False	True	False	False	True	False	False	False	False	14
230	False	False	False	False	False	True	True	False	True	False	False	True	False	False	True	False	8
231	False	False	False	False	False	True	True	False	True	False	False	True	False	True	False	True	1
232	False	False	False	False	False	True	True	False	True	False	False	True	False	True	True	False	11
233	False	False	False	False	False	True	True	False	True	False	False	True	True	False	False	False	3
234	False	False	False	False	False	True	True	False	True	False	False	True	True	False	True	False	2
235	False	False	False	False	False	True	True	False	True	False	False	True	True	True	False	False	2
236	False	False	False	False	False	True	True	False	True	False	False	True	True	True	True	False	4
237	False	False	False	False	False	True	True	False	True	False	False	True	True	True	True	True	1
238	False	False	False	False	False	True	True	False	True	False	True	False	False	False	False	False	6
239	False	False	False	False	False	True	True	False	True	False	True	False	False	False	True	False	5
240	False	False	False	False	False	True	True	False	True	False	True	False	False	False	True	True	1
241	False	False	False	False	False	True	True	False	True	False	True	False	False	True	False	False	2
242	False	False	False	False	False	True	True	False	True	False	True	False	False	True	False	True	1
243	False	False	False	False	False	True	True	False	True	False	True	False	False	True	True	False	4
244	False	False	False	False	False	True	True	False	True	False	True	True	False	False	False	False	10
245	False	False	False	False	False	True	True	False	True	False	True	True	False	False	True	False	9
246	False	False	False	False	False	True	True	False	True	False	True	True	False	True	False	False	2
247	False	False	False	False	False	True	True	False	True	False	True	True	False	True	True	False	6
248	False	False	False	False	False	True	True	False	True	False	True	True	False	True	True	True	2
249	False	False	False	False	False	True	True	False	True	False	True	True	True	False	True	False	1
250	False	False	False	False	False	True	True	False	True	False	True	True	True	True	False	False	2
251	False	False	False	False	False	True	True	False	True	False	True	True	True	True	True	False	4
252	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	1
253	False	False	False	False	False	True	True	True	False	False	False	False	False	True	False	True	1
254	False	False	False	False	False	True	True	True	False	False	False	True	False	False	False	False	2
255	False	False	False	False	False	True	True	True	False	False	False	True	False	True	False	False	2
256	False	False	False	False	False	True	True	True	False	False	False	True	True	False	False	False	1
257	False	False	False	False	False	True	True	True	False	False	False	True	True	True	False	False	1
258	False	False	False	False	False	True	True	True	False	False	True	False	False	True	True	False	1
259	False	False	False	False	False	True	True	True	False	False	True	True	False	False	True	False	2
260	False	False	False	False	False	True	True	True	False	False	True	True	False	True	False	False	2
261	False	False	False	False	False	True	True	True	False	False	True	True	False	True	False	True	1
262	False	False	False	False	False	True	True	True	False	False	True	True	False	True	True	False	1
263	False	False	False	False	False	True	True	True	False	False	True	True	False	True	True	True	1
264	False	False	False	False	False	True	True	True	False	False	True	True	True	True	False	False	1
265	False	False	False	False	False	True	True	True	True	False	False	False	False	False	True	False	2
266	False	False	False	False	False	True	True	True	True	False	False	False	False	True	True	False	1
267	False	False	False	False	False	True	True	True	True	False	False	True	False	False	False	True	1
268	False	False	False	False	False	True	True	True	True	False	False	True	False	True	True	True	1
269	False	False	False	False	False	True	True	True	True	False	False	True	True	True	True	False	1
270	False	False	False	False	False	True	True	True	True	False	True	False	True	False	False	False	1
271	False	False	False	False	False	True	True	True	True	False	True	True	False	False	False	False	1
272	False	False	False	False	False	True	True	True	True	False	True	True	False	False	False	True	1
273	False	False	False	False	False	True	True	True	True	False	True	True	False	False	True	False	1
274	False	False	False	False	False	True	True	True	True	False	True	True	False	True	False	False	2
275	False	False	False	False	False	True	True	True	True	False	True	True	False	True	False	True	1
276	False	False	False	False	False	True	True	True	True	False	True	True	False	True	True	False	1
277	False	False	False	False	False	True	True	True	True	False	True	True	True	False	True	False	1
278	False	False	False	False	True	False	False	False	False	True	False	False	False	False	False	False	5
279	False	False	False	False	True	False	False	False	False	True	False	False	False	False	True	False	1
280	False	False	False	False	True	False	False	False	False	True	False	True	False	False	False	False	2
281	False	False	False	False	True	False	False	False	False	True	False	True	False	False	True	False	2
282	False	False	False	False	True	False	False	False	False	True	False	True	False	True	False	False	1
283	False	False	False	False	True	False	False	False	False	True	False	True	True	False	True	False	1
284	False	False	False	False	True	False	False	False	False	True	True	False	False	True	False	False	1
285	False	False	False	False	True	False	False	False	False	True	True	True	False	True	False	False	1
286	False	False	False	False	True	False	False	False	True	True	False	False	False	False	False	False	3
287	False	False	False	False	True	False	False	False	True	True	False	False	True	False	False	False	1
288	False	False	False	False	True	False	False	False	True	True	False	True	False	False	True	False	2
289	False	False	False	False	True	False	False	False	True	True	False	True	False	True	False	False	1
290	False	False	False	False	True	False	False	False	True	True	False	True	False	True	True	False	1
291	False	False	False	False	True	False	False	False	True	True	False	True	True	False	False	False	1
292	False	False	False	False	True	False	False	False	True	True	False	True	True	True	False	False	1
293	False	False	False	False	True	False	False	False	True	True	True	False	False	False	False	False	1
294	False	False	False	False	True	False	False	False	True	True	True	False	False	True	True	False	1
295	False	False	False	False	True	False	False	False	True	True	True	False	True	True	True	False	1
296	False	False	False	False	True	False	False	False	True	True	True	True	False	False	False	False	2
297	False	False	False	False	True	False	False	False	True	True	True	True	False	True	False	False	1
298	False	False	False	False	True	False	False	False	True	True	True	True	True	False	False	False	1
299	False	False	False	False	True	False	False	True	False	True	True	False	False	False	False	False	1
300	False	False	False	False	True	False	False	True	False	True	True	False	True	True	False	False	1
301	False	False	False	False	True	False	False	True	True	True	False	True	False	False	True	False	1
302	False	False	False	False	True	False	False	True	True	True	True	False	False	True	False	False	1
303	False	False	False	False	True	False	True	False	False	True	False	False	False	False	False	False	2
304	False	False	False	False	True	False	True	False	False	True	False	False	False	False	True	False	1
305	False	False	False	False	True	False	True	False	False	True	False	False	True	False	False	True	1
306	False	False	False	False	True	False	True	False	False	True	False	True	False	False	False	False	1
307	False	False	False	False	True	False	True	False	False	True	True	False	False	False	False	False	1
308	False	False	False	False	True	False	True	False	False	True	True	True	False	False	True	False	1
309	False	False	False	False	True	False	True	False	False	True	True	True	False	True	False	False	1
310	False	False	False	False	True	False	True	False	True	True	False	True	False	True	False	False	1
311	False	False	False	False	True	False	True	False	True	True	False	True	False	True	True	False	1
312	False	False	False	False	True	False	True	False	True	True	True	False	False	True	True	False	2
313	False	False	False	False	True	False	True	False	True	True	True	False	True	True	False	False	1
314	False	False	False	False	True	False	True	False	True	True	True	True	False	False	False	False	1
315	False	False	False	False	True	False	True	False	True	True	True	True	True	True	True	True	1
316	False	False	False	False	True	False	True	True	False	True	False	False	False	True	False	True	1
317	False	False	False	False	True	False	True	True	True	True	False	True	False	True	True	True	1
318	False	False	False	False	True	False	True	True	True	True	True	False	False	False	True	False	2
319	False	False	False	False	True	False	True	True	True	True	True	True	False	True	True	False	1
320	False	False	False	False	True	True	False	False	False	True	False	False	False	False	False	False	1
321	False	False	False	False	True	True	False	False	False	True	False	False	False	False	False	True	1
322	False	False	False	False	True	True	False	False	False	True	False	True	True	True	False	False	1
323	False	False	False	False	True	True	False	False	False	True	True	False	False	False	False	True	1
324	False	False	False	False	True	True	False	False	False	True	True	False	True	False	False	False	1
325	False	False	False	False	True	True	False	False	False	True	True	True	False	False	False	False	1
326	False	False	False	False	True	True	False	False	False	True	True	True	True	True	True	False	1
327	False	False	False	False	True	True	False	False	True	True	False	False	False	False	False	False	1
328	False	False	False	False	True	True	False	False	True	True	False	False	False	False	True	False	1
329	False	False	False	False	True	True	False	False	True	True	False	False	True	True	True	True	1
330	False	False	False	False	True	True	False	False	True	True	False	True	False	False	False	False	2
331	False	False	False	False	True	True	False	False	True	True	False	True	False	False	True	True	1
332	False	False	False	False	True	True	False	False	True	True	False	True	False	True	False	False	1
333	False	False	False	False	True	True	False	False	True	True	False	True	False	True	True	False	1
334	False	False	False	False	True	True	False	False	True	True	False	True	True	True	True	False	1
335	False	False	False	False	True	True	False	False	True	True	True	False	True	False	True	False	1
336	False	False	False	False	True	True	False	False	True	True	True	False	True	True	True	False	1
337	False	False	False	False	True	True	False	False	True	True	True	True	False	True	True	False	1
338	False	False	False	False	True	True	False	True	False	True	True	True	False	False	False	False	1
339	False	False	False	False	True	True	False	True	True	True	False	True	False	True	True	False	1
340	False	False	False	False	True	True	False	True	True	True	True	True	False	False	True	False	1
341	False	False	False	False	True	True	False	True	True	True	True	True	False	True	False	True	2
342	False	False	False	False	True	True	True	False	False	True	False	False	False	False	False	False	1
343	False	False	False	False	True	True	True	False	False	True	False	False	False	True	False	False	1
344	False	False	False	False	True	True	True	False	False	True	False	False	True	False	False	False	1
345	False	False	False	False	True	True	True	False	False	True	False	True	False	False	False	False	2
346	False	False	False	False	True	True	True	False	False	True	False	True	False	True	True	False	1
347	False	False	False	False	True	True	True	False	False	True	True	True	False	False	False	False	3
348	False	False	False	False	True	True	True	False	False	True	True	True	True	False	False	True	1
349	False	False	False	False	True	True	True	False	False	True	True	True	True	False	True	False	1
350	False	False	False	False	True	True	True	False	True	True	False	False	True	False	True	False	1
351	False	False	False	False	True	True	True	False	True	True	False	False	True	True	True	False	1
352	False	False	False	False	True	True	True	False	True	True	False	True	False	False	True	False	1
353	False	False	False	False	True	True	True	False	True	True	False	True	False	True	True	False	2
354	False	False	False	False	True	True	True	False	True	True	True	False	False	False	False	False	1
355	False	False	False	False	True	True	True	False	True	True	True	False	False	False	False	True	1
356	False	False	False	False	True	True	True	False	True	True	True	False	False	False	True	False	1
357	False	False	False	False	True	True	True	False	True	True	True	False	False	True	False	False	1
358	False	False	False	False	True	True	True	False	True	True	True	False	False	True	True	True	1
359	False	False	False	False	True	True	True	False	True	True	True	False	True	True	True	False	1
360	False	False	False	False	True	True	True	False	True	True	True	True	False	False	False	False	3
361	False	False	False	False	True	True	True	False	True	True	True	True	False	False	True	False	2
362	False	False	False	False	True	True	True	False	True	True	True	True	False	True	False	False	3
363	False	False	False	False	True	True	True	False	True	True	True	True	False	True	True	False	2
364	False	False	False	False	True	True	True	True	False	True	False	True	True	True	True	True	1
365	False	False	False	False	True	True	True	True	False	True	True	True	True	False	False	False	1
366	False	False	False	False	True	True	True	True	False	True	True	True	True	True	False	False	1
367	False	False	False	False	True	True	True	True	True	True	False	False	False	True	False	False	1
368	False	False	False	False	True	True	True	True	True	True	True	False	False	False	True	False	1
369	False	False	False	False	True	True	True	True	True	True	True	False	False	True	True	False	1
370	False	False	False	False	True	True	True	True	True	True	True	True	False	False	True	False	2
371	False	False	False	False	True	True	True	True	True	True	True	True	False	True	True	False	1
372	False	False	False	False	True	True	True	True	True	True	True	True	True	True	True	True	1
373	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	11
374	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	1
375	False	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	3
376	False	False	False	True	False	False	False	False	False	False	False	False	True	False	False	False	1
377	False	False	False	True	False	False	False	False	False	False	False	False	True	False	True	False	1
378	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	7
379	False	False	False	True	False	False	False	False	False	False	False	True	False	False	True	False	1
380	False	False	False	True	False	False	False	False	False	False	False	True	False	True	False	False	2
