Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center Name	common_name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	ENA-FIRST-PUBLIC (run)	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE (run)	ENA-LAST-UPDATE	Experiment	External_Id	Genotype	geo_loc_name_country	geo_loc_name_country_continent	geographic_location_(country_and/or_sea)	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	Instrument	isolation_and_growth_condition	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	plant_developmental_stage	plant_growth_medium	plant_structure	Platform	ReleaseDate	create_date	version	Sample Name	Sample_name	SRA Study	Submitter_Id	Status
ERR4882175	RNA-Seq	200	3006299761	PRJEB41560	SAMEA7637465	1063751202	ESALQ/USP	RB855536	public	run.zq,fastq,sra	s3,ncbi,gs	s3.us-east-1,ncbi.public,gs.US	23/06/2021	23/06/2021	23/06/2021	23/06/2021	ERX4751684	SAMEA7637465	RB855536	Brazil	South America	Brazil	ESALQ/USP	ESALQ/USP	2021-06-23T16:12:37Z	2021-06-23T16:12:37Z	public	Illumina HiSeq 2500	Controlled enviorement (Greenhouse)	unspecified	PAIRED	cDNA	TRANSCRIPTOMIC	Saccharum hybrid cultivar	Four months	Soil mixture having 80% sand and 20% commercial substrate	Root	ILLUMINA	2021-06-24T00:00:00Z	2021-06-28T20:16:00Z	1	SAMEA7637465	RB855536_R3_L003_C	ERP125354	RB855536_R3_L003_C	CONTROL
ERR4882182	RNA-Seq	198	4285320340	PRJEB41560	SAMEA7637472	1541297496	ESALQ/USP	RB855536	public	run.zq,sra,fastq	ncbi,gs,s3	s3.us-east-1,gs.US,ncbi.public	23/06/2021	23/06/2021	23/06/2021	23/06/2021	ERX4751691	SAMEA7637472	RB855536	Brazil	South America	Brazil	ESALQ/USP	ESALQ/USP	2021-06-23T16:12:37Z	2021-06-23T16:12:37Z	public	Illumina HiSeq 2500	Controlled enviorement (Greenhouse)	unspecified	PAIRED	cDNA	TRANSCRIPTOMIC	Saccharum hybrid cultivar	Four months	Soil mixture having 80% sand and 20% commercial substrate	Root	ILLUMINA	2021-06-24T00:00:00Z	2021-06-28T20:28:00Z	1	SAMEA7637472	RB855536_R2_L002_C	ERP125354	RB855536_R2_L002_C	CONTROL
ERR4882152	RNA-Seq	199	5104388922	PRJEB41560	SAMEA7637442	1838386170	ESALQ/USP	RB867515	public	run.zq,sra,fastq	ncbi,gs,s3	gs.US,ncbi.public,s3.us-east-1	23/06/2021	23/06/2021	23/06/2021	23/06/2021	ERX4751661	SAMEA7637442	RB867515	Brazil	South America	Brazil	ESALQ/USP	ESALQ/USP	2021-06-23T16:12:37Z	2021-06-23T16:12:37Z	public	Illumina HiSeq 2500	Controlled enviorement (Greenhouse)	unspecified	PAIRED	cDNA	TRANSCRIPTOMIC	Saccharum hybrid cultivar RB867515	Four months	Soil mixture having 80% sand and 20% commercial substrate	Root	ILLUMINA	2021-06-24T00:00:00Z	2021-06-28T20:26:00Z	1	SAMEA7637442	RB867515_R2_L002_D	ERP125354	RB867515_R2_L002_D	DROUGHT
ERR4882158	RNA-Seq	199	3223775766	PRJEB41560	SAMEA7637448	1122834071	ESALQ/USP	RB867515	public	fastq,run.zq,sra	s3,ncbi,gs	s3.us-east-1,gs.US,ncbi.public	23/06/2021	23/06/2021	23/06/2021	23/06/2021	ERX4751667	SAMEA7637448	RB867515	Brazil	South America	Brazil	ESALQ/USP	ESALQ/USP	2021-06-23T16:12:37Z	2021-06-23T16:12:37Z	public	Illumina HiSeq 2500	Controlled enviorement (Greenhouse)	unspecified	PAIRED	cDNA	TRANSCRIPTOMIC	Saccharum hybrid cultivar RB867515	Four months	Soil mixture having 80% sand and 20% commercial substrate	Root	ILLUMINA	2021-06-24T00:00:00Z	2021-06-28T20:13:00Z	1	SAMEA7637448	RB867515_R1_L001_C	ERP125354	RB867515_R1_L001_C	CONTROL
ERR4882161	RNA-Seq	199	3452844759	PRJEB41560	SAMEA7637451	1189667548	ESALQ/USP	RB867515	public	fastq,sra,run.zq	s3,gs,ncbi	ncbi.public,gs.US,s3.us-east-1	23/06/2021	23/06/2021	23/06/2021	23/06/2021	ERX4751670	SAMEA7637451	RB867515	Brazil	South America	Brazil	ESALQ/USP	ESALQ/USP	2021-06-23T16:12:37Z	2021-06-23T16:12:37Z	public	Illumina HiSeq 2500	Controlled enviorement (Greenhouse)	unspecified	PAIRED	cDNA	TRANSCRIPTOMIC	Saccharum hybrid cultivar RB867515	Four months	Soil mixture having 80% sand and 20% commercial substrate	Root	ILLUMINA	2021-06-24T00:00:00Z	2021-06-28T20:15:00Z	1	SAMEA7637451	RB867515_R1_L001_D	ERP125354	RB867515_R1_L001_D	DROUGHT
ERR4882168	RNA-Seq	199	3487236852	PRJEB41560	SAMEA7637458	1200952686	ESALQ/USP	RB867515	public	fastq,sra,run.zq	s3,gs,ncbi	ncbi.public,s3.us-east-1,gs.US	23/06/2021	23/06/2021	23/06/2021	23/06/2021	ERX4751677	SAMEA7637458	RB867515	Brazil	South America	Brazil	ESALQ/USP	ESALQ/USP	2021-06-23T16:12:37Z	2021-06-23T16:12:37Z	public	Illumina HiSeq 2500	Controlled enviorement (Greenhouse)	unspecified	PAIRED	cDNA	TRANSCRIPTOMIC	Saccharum hybrid cultivar RB867515	Four months	Soil mixture having 80% sand and 20% commercial substrate	Root	ILLUMINA	2021-06-24T00:00:00Z	2021-06-28T20:33:00Z	1	SAMEA7637458	RB867515_R3_L003_C	ERP125354	RB867515_R3_L003_C	CONTROL
ERR4882172	RNA-Seq	198	3714938177	PRJEB41560	SAMEA7637462	1274918291	ESALQ/USP	RB867515	public	fastq,run.zq,sra	s3,ncbi,gs	s3.us-east-1,gs.US,ncbi.public	23/06/2021	23/06/2021	23/06/2021	23/06/2021	ERX4751681	SAMEA7637462	RB867515	Brazil	South America	Brazil	ESALQ/USP	ESALQ/USP	2021-06-23T16:12:37Z	2021-06-23T16:12:37Z	public	Illumina HiSeq 2500	Controlled enviorement (Greenhouse)	unspecified	PAIRED	cDNA	TRANSCRIPTOMIC	Saccharum hybrid cultivar RB867515	Four months	Soil mixture having 80% sand and 20% commercial substrate	Root	ILLUMINA	2021-06-24T00:00:00Z	2021-06-28T20:23:00Z	1	SAMEA7637462	RB867515_R3_L003_D	ERP125354	RB867515_R3_L003_D	DROUGHT
ERR4882184	RNA-Seq	199	4469314653	PRJEB41560	SAMEA7637474	1616104235	ESALQ/USP	RB867515	public	sra,fastq,run.zq	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	23/06/2021	23/06/2021	23/06/2021	23/06/2021	ERX4751693	SAMEA7637474	RB867515	Brazil	South America	Brazil	ESALQ/USP	ESALQ/USP	2021-06-23T16:12:37Z	2021-06-23T16:12:37Z	public	Illumina HiSeq 2500	Controlled enviorement (Greenhouse)	unspecified	PAIRED	cDNA	TRANSCRIPTOMIC	Saccharum hybrid cultivar RB867515	Four months	Soil mixture having 80% sand and 20% commercial substrate	Root	ILLUMINA	2021-06-24T00:00:00Z	2021-06-28T21:42:00Z	1	SAMEA7637474	RB867515_R2_L002_C	ERP125354	RB867515_R2_L002_C	CONTROL
ERR4882154	RNA-Seq	199	3773155141	PRJEB41560	SAMEA7637444	1288543973	ESALQ/USP	RB92579	public	fastq,sra,run.zq	ncbi,gs,s3	gs.US,s3.us-east-1,ncbi.public	23/06/2021	23/06/2021	23/06/2021	23/06/2021	ERX4751663	SAMEA7637444	RB92579	Brazil	South America	Brazil	ESALQ/USP	ESALQ/USP	2021-06-23T16:12:37Z	2021-06-23T16:12:37Z	public	Illumina HiSeq 2500	Controlled enviorement (Greenhouse)	unspecified	PAIRED	cDNA	TRANSCRIPTOMIC	Saccharum hybrid cultivar	Four months	Soil mixture having 80% sand and 20% commercial substrate	Root	ILLUMINA	2021-06-24T00:00:00Z	2021-06-28T20:16:00Z	1	SAMEA7637444	RB92579_R1_L001_D	ERP125354	RB92579_R1_L001_D	DROUGHT
ERR4882156	RNA-Seq	199	3713308426	PRJEB41560	SAMEA7637446	1275608175	ESALQ/USP	RB92579	public	run.zq,fastq,sra	gs,ncbi,s3	ncbi.public,s3.us-east-1,gs.US	23/06/2021	23/06/2021	23/06/2021	23/06/2021	ERX4751665	SAMEA7637446	RB92579	Brazil	South America	Brazil	ESALQ/USP	ESALQ/USP	2021-06-23T16:12:37Z	2021-06-23T16:12:37Z	public	Illumina HiSeq 2500	Controlled enviorement (Greenhouse)	unspecified	PAIRED	cDNA	TRANSCRIPTOMIC	Saccharum hybrid cultivar	Four months	Soil mixture having 80% sand and 20% commercial substrate	Root	ILLUMINA	2021-06-24T00:00:00Z	2021-06-28T20:16:00Z	1	SAMEA7637446	RB92579_R3_L003_C	ERP125354	RB92579_R3_L003_C	CONTROL
ERR4882166	RNA-Seq	199	4272153135	PRJEB41560	SAMEA7637456	1563851906	ESALQ/USP	RB92579	public	sra,fastq,run.zq	gs,s3,ncbi	s3.us-east-1,gs.US,ncbi.public	23/06/2021	23/06/2021	23/06/2021	23/06/2021	ERX4751675	SAMEA7637456	RB92579	Brazil	South America	Brazil	ESALQ/USP	ESALQ/USP	2021-06-23T16:12:37Z	2021-06-23T16:12:37Z	public	Illumina HiSeq 2500	Controlled enviorement (Greenhouse)	unspecified	PAIRED	cDNA	TRANSCRIPTOMIC	Saccharum hybrid cultivar	Four months	Soil mixture having 80% sand and 20% commercial substrate	Root	ILLUMINA	2021-06-24T00:00:00Z	2021-06-28T20:18:00Z	1	SAMEA7637456	RB92579_R2_L002_C	ERP125354	RB92579_R2_L002_C	CONTROL
ERR4882169	RNA-Seq	199	3566655197	PRJEB41560	SAMEA7637459	1217242784	ESALQ/USP	RB92579	public	fastq,sra,run.zq	gs,s3,ncbi	gs.US,s3.us-east-1,ncbi.public	23/06/2021	23/06/2021	23/06/2021	23/06/2021	ERX4751678	SAMEA7637459	RB92579	Brazil	South America	Brazil	ESALQ/USP	ESALQ/USP	2021-06-23T16:12:37Z	2021-06-23T16:12:37Z	public	Illumina HiSeq 2500	Controlled enviorement (Greenhouse)	unspecified	PAIRED	cDNA	TRANSCRIPTOMIC	Saccharum hybrid cultivar	Four months	Soil mixture having 80% sand and 20% commercial substrate	Root	ILLUMINA	2021-06-24T00:00:00Z	2021-06-28T20:17:00Z	1	SAMEA7637459	RB92579_R3_L003_D	ERP125354	RB92579_R3_L003_D	DROUGHT
ERR4882179	RNA-Seq	199	3460338878	PRJEB41560	SAMEA7637469	1202688117	ESALQ/USP	RB92579	public	run.zq,fastq,sra	ncbi,gs,s3	ncbi.public,s3.us-east-1,gs.US	23/06/2021	23/06/2021	23/06/2021	23/06/2021	ERX4751688	SAMEA7637469	RB92579	Brazil	South America	Brazil	ESALQ/USP	ESALQ/USP	2021-06-23T16:12:37Z	2021-06-23T16:12:37Z	public	Illumina HiSeq 2500	Controlled enviorement (Greenhouse)	unspecified	PAIRED	cDNA	TRANSCRIPTOMIC	Saccharum hybrid cultivar	Four months	Soil mixture having 80% sand and 20% commercial substrate	Root	ILLUMINA	2021-06-24T00:00:00Z	2021-06-28T20:22:00Z	1	SAMEA7637469	RB92579_R1_L001_C	ERP125354	RB92579_R1_L001_C	CONTROL
ERR4882180	RNA-Seq	198	4163248979	PRJEB41560	SAMEA7637470	1492314765	ESALQ/USP	RB92579	public	run.zq,fastq,sra	ncbi,s3,gs	s3.us-east-1,gs.US,ncbi.public	23/06/2021	23/06/2021	23/06/2021	23/06/2021	ERX4751689	SAMEA7637470	RB92579	Brazil	South America	Brazil	ESALQ/USP	ESALQ/USP	2021-06-23T16:12:37Z	2021-06-23T16:12:37Z	public	Illumina HiSeq 2500	Controlled enviorement (Greenhouse)	unspecified	PAIRED	cDNA	TRANSCRIPTOMIC	Saccharum hybrid cultivar	Four months	Soil mixture having 80% sand and 20% commercial substrate	Root	ILLUMINA	2021-06-24T00:00:00Z	2021-06-28T20:21:00Z	1	SAMEA7637470	RB92579_R2_L002_D	ERP125354	RB92579_R2_L002_D	DROUGHT
ERR4882159	RNA-Seq	199	3641975745	PRJEB41560	SAMEA7637449	1252563480	ESALQ/USP	SP79-1011	public	sra,fastq,run.zq	ncbi,gs,s3	ncbi.public,gs.US,s3.us-east-1	23/06/2021	23/06/2021	23/06/2021	23/06/2021	ERX4751668	SAMEA7637449	SP79-1011	Brazil	South America	Brazil	ESALQ/USP	ESALQ/USP	2021-06-23T16:12:37Z	2021-06-23T16:12:37Z	public	Illumina HiSeq 2500	Controlled enviorement (Greenhouse)	unspecified	PAIRED	cDNA	TRANSCRIPTOMIC	Saccharum hybrid cultivar	Four months	Soil mixture having 80% sand and 20% commercial substrate	Root	ILLUMINA	2021-06-25T00:00:00Z	2021-06-30T03:08:00Z	1	SAMEA7637449	SP79-1011_R1_L001_D	ERP125354	SP79-1011_R1_L001_D	DROUGHT
ERR4882153	RNA-Seq	200	4327344278	PRJEB41560	SAMEA7637443	1561804662	ESALQ/USP	SP79-1011	public	run.zq,sra,fastq	s3,gs,ncbi	s3.us-east-1,ncbi.public,gs.US	23/06/2021	23/06/2021	23/06/2021	23/06/2021	ERX4751662	SAMEA7637443	SP79-1011	Brazil	South America	Brazil	ESALQ/USP	ESALQ/USP	2021-06-23T16:12:37Z	2021-06-23T16:12:37Z	public	Illumina HiSeq 2500	Controlled enviorement (Greenhouse)	unspecified	PAIRED	cDNA	TRANSCRIPTOMIC	Saccharum hybrid cultivar	Four months	Soil mixture having 80% sand and 20% commercial substrate	Root	ILLUMINA	2021-06-24T00:00:00Z	2021-06-28T20:24:00Z	1	SAMEA7637443	SP79-1011_R2_L002_C	ERP125354	SP79-1011_R2_L002_C	CONTROL
ERR4882160	RNA-Seq	199	3759405159	PRJEB41560	SAMEA7637450	1289974542	ESALQ/USP	SP79-1011	public	fastq,run.zq,sra	gs,s3,ncbi	ncbi.public,s3.us-east-1,gs.US	23/06/2021	23/06/2021	23/06/2021	23/06/2021	ERX4751669	SAMEA7637450	SP79-1011	Brazil	South America	Brazil	ESALQ/USP	ESALQ/USP	2021-06-23T16:12:37Z	2021-06-23T16:12:37Z	public	Illumina HiSeq 2500	Controlled enviorement (Greenhouse)	unspecified	PAIRED	cDNA	TRANSCRIPTOMIC	Saccharum hybrid cultivar	Four months	Soil mixture having 80% sand and 20% commercial substrate	Root	ILLUMINA	2021-06-24T00:00:00Z	2021-06-28T20:17:00Z	1	SAMEA7637450	SP79-1011_R1_L001_C	ERP125354	SP79-1011_R1_L001_C	CONTROL
ERR4882170	RNA-Seq	198	3167910325	PRJEB41560	SAMEA7637460	1085749367	ESALQ/USP	SP79-1011	public	run.zq,sra,fastq	s3,gs,ncbi	s3.us-east-1,ncbi.public,gs.US	23/06/2021	23/06/2021	23/06/2021	23/06/2021	ERX4751679	SAMEA7637460	SP79-1011	Brazil	South America	Brazil	ESALQ/USP	ESALQ/USP	2021-06-23T16:12:37Z	2021-06-23T16:12:37Z	public	Illumina HiSeq 2500	Controlled enviorement (Greenhouse)	unspecified	PAIRED	cDNA	TRANSCRIPTOMIC	Saccharum hybrid cultivar	Four months	Soil mixture having 80% sand and 20% commercial substrate	Root	ILLUMINA	2021-06-24T00:00:00Z	2021-06-28T20:16:00Z	1	SAMEA7637460	SP79-1011_R3_L003_C	ERP125354	SP79-1011_R3_L003_C	CONTROL
ERR4882174	RNA-Seq	199	3636055824	PRJEB41560	SAMEA7637464	1251980188	ESALQ/USP	SP79-1011	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	23/06/2021	23/06/2021	23/06/2021	23/06/2021	ERX4751683	SAMEA7637464	SP79-1011	Brazil	South America	Brazil	ESALQ/USP	ESALQ/USP	2021-06-23T16:12:37Z	2021-06-23T16:12:37Z	public	Illumina HiSeq 2500	Controlled enviorement (Greenhouse)	unspecified	PAIRED	cDNA	TRANSCRIPTOMIC	Saccharum hybrid cultivar	Four months	Soil mixture having 80% sand and 20% commercial substrate	Root	ILLUMINA	2021-06-24T00:00:00Z	2021-06-28T20:22:00Z	1	SAMEA7637464	SP79-1011_R3_L003_D	ERP125354	SP79-1011_R3_L003_D	DROUGHT
ERR4882176	RNA-Seq	198	4974017488	PRJEB41560	SAMEA7637466	1807632435	ESALQ/USP	SP79-1011	public	sra,run.zq,fastq	s3,gs,ncbi	ncbi.public,gs.US,s3.us-east-1	23/06/2021	23/06/2021	23/06/2021	23/06/2021	ERX4751685	SAMEA7637466	SP79-1011	Brazil	South America	Brazil	ESALQ/USP	ESALQ/USP	2021-06-23T16:12:37Z	2021-06-23T16:12:37Z	public	Illumina HiSeq 2500	Controlled enviorement (Greenhouse)	unspecified	PAIRED	cDNA	TRANSCRIPTOMIC	Saccharum hybrid cultivar	Four months	Soil mixture having 80% sand and 20% commercial substrate	Root	ILLUMINA	2021-06-24T00:00:00Z	2021-06-28T20:14:00Z	1	SAMEA7637466	SP79-1011_R2_L002_D	ERP125354	SP79-1011_R2_L002_D	DROUGHT
ERR4882150	RNA-Seq	199	4971369887	PRJEB41560	SAMEA7637440	1815676052	ESALQ/USP	SP80-3280	public	run.zq,fastq,sra	ncbi,s3,gs	s3.us-east-1,ncbi.public,gs.US	23/06/2021	23/06/2021	23/06/2021	23/06/2021	ERX4751659	SAMEA7637440	SP80-3280	Brazil	South America	Brazil	ESALQ/USP	ESALQ/USP	2021-06-23T16:12:37Z	2021-06-23T16:12:37Z	public	Illumina HiSeq 2500	Controlled enviorement (Greenhouse)	unspecified	PAIRED	cDNA	TRANSCRIPTOMIC	Saccharum hybrid cultivar SP80-3280	Four months	Soil mixture having 80% sand and 20% commercial substrate	Root	ILLUMINA	2021-06-24T00:00:00Z	2021-06-28T20:13:00Z	1	SAMEA7637440	SP80-3280_R2_L002_C	ERP125354	SP80-3280_R2_L002_C	CONTROL
ERR4882157	RNA-Seq	198	3720532347	PRJEB41560	SAMEA7637447	1270407967	ESALQ/USP	SP80-3280	public	sra,fastq,run.zq	s3,ncbi,gs	ncbi.public,s3.us-east-1,gs.US	23/06/2021	23/06/2021	23/06/2021	23/06/2021	ERX4751666	SAMEA7637447	SP80-3280	Brazil	South America	Brazil	ESALQ/USP	ESALQ/USP	2021-06-23T16:12:37Z	2021-06-23T16:12:37Z	public	Illumina HiSeq 2500	Controlled enviorement (Greenhouse)	unspecified	PAIRED	cDNA	TRANSCRIPTOMIC	Saccharum hybrid cultivar SP80-3280	Four months	Soil mixture having 80% sand and 20% commercial substrate	Root	ILLUMINA	2021-06-24T00:00:00Z	2021-06-28T20:18:00Z	1	SAMEA7637447	SP80-3280_R3_L003_D	ERP125354	SP80-3280_R3_L003_D	DROUGHT
