Run	Status	Replicate	Age	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	Consent	Genotype	Cultivar	DATASTORE filetype	DATASTORE provider	DATASTORE region	dev_stage	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	create_date	version	Sample Name	SRA Study	Tissue
SRR10485008	SERIOUS RECOVERY	1	sibling	RNA-Seq	300	13819096330	PRJNA590281	SAMN13324077	Plant	5406425205	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GT31	GT31-25	sra,fastq,run.zq	ncbi,gs,s3	gs.US,ncbi.public,s3.us-east-1	maturation	SRX7174764	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T73	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:22:00Z	1	T73	SRP230374	leaf
SRR10485009	SERIOUS CONTROL	3	sibling	RNA-Seq	299	8475552932	PRJNA590281	SAMN13324094	Plant	3310766369	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	F172	F172-24	sra,run.zq,fastq	gs,s3,ncbi	gs.US,s3.us-east-1,ncbi.public	maturation	SRX7174763	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T72	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:12:00Z	1	T72	SRP230374	leaf
SRR10485010	SERIOUS CONTROL	2	sibling	RNA-Seq	298	11847881988	PRJNA590281	SAMN13324044	Plant	4649616519	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	F172	F172-23	fastq,sra,run.zq	gs,ncbi,s3	s3.us-east-1,ncbi.public,gs.US	maturation	SRX7174762	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T71	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:18:00Z	1	T71	SRP230374	leaf
SRR10485011	ONSET	2	sibling	RNA-Seq	298	11438152430	PRJNA590281	SAMN13324086	Plant	4324253525	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	F172	F172-2	sra,fastq,run.zq	s3,gs,ncbi	s3.us-east-1,gs.US,ncbi.public	maturation	SRX7174761	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T08	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:16:00Z	1	T08	SRP230374	leaf
SRR10485012	SERIOUS CONTROL	1	sibling	RNA-Seq	298	11046702688	PRJNA590281	SAMN13324030	Plant	4338398705	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	F172	F172-22	sra,fastq,run.zq	gs,ncbi,s3	gs.US,s3.us-east-1,ncbi.public	maturation	SRX7174760	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T70	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:17:00Z	1	T70	SRP230374	leaf
SRR10485013	SERIOUS CONTROL	3	sibling	RNA-Seq	299	9005619092	PRJNA590281	SAMN13324060	Plant	3563147161	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GZ18	GZ18-24	sra,fastq,run.zq	s3,gs,ncbi	gs.US,s3.us-east-1,ncbi.public	maturation	SRX7174759	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T69	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:12:00Z	1	T69	SRP230374	leaf
SRR10485014	SERIOUS CONTROL	2	sibling	RNA-Seq	298	12153665784	PRJNA590281	SAMN13324047	Plant	4738371987	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GZ18	GZ18-23	run.zq,sra,fastq	ncbi,s3,gs	gs.US,s3.us-east-1,ncbi.public	maturation	SRX7174758	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T68	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:18:00Z	1	T68	SRP230374	leaf
SRR10485015	MEDIUM CONTROL	2	sibling	RNA-Seq	298	7826023482	PRJNA590281	SAMN13324069	Plant	3043496130	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GT31	GT31-14	fastq,sra,run.zq	ncbi,s3,gs	gs.US,ncbi.public,s3.us-east-1	maturation	SRX7174757	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T38	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:09:00Z	1	T38	SRP230374	leaf
SRR10485016	MEDIUM CONTROL	1	sibling	RNA-Seq	297	12070999012	PRJNA590281	SAMN13324095	Plant	4696018949	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GT31	GT31-13	fastq,sra,run.zq	s3,ncbi,gs	ncbi.public,s3.us-east-1,gs.US	maturation	SRX7174756	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T37	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:15:00Z	1	T37	SRP230374	leaf
SRR10485017	MEDIUM TREATMENT	3	sibling	RNA-Seq	298	12559132582	PRJNA590281	SAMN13324072	Plant	4828072751	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	F172	F172-12	sra,fastq,run.zq	gs,ncbi,s3	ncbi.public,s3.us-east-1,gs.US	maturation	SRX7174755	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T36	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:18:00Z	1	T36	SRP230374	leaf
SRR10485018	MEDIUM TREATMENT	2	sibling	RNA-Seq	298	10136899752	PRJNA590281	SAMN13324063	Plant	3923811416	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	F172	F172-11	fastq,sra,run.zq	gs,ncbi,s3	s3.us-east-1,ncbi.public,gs.US	maturation	SRX7174754	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T35	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:13:00Z	1	T35	SRP230374	leaf
SRR10485019	MEDIUM TREATMENT	1	sibling	RNA-Seq	298	8777677800	PRJNA590281	SAMN13324079	Plant	3553245810	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	F172	F172-10	fastq,run.zq,sra	gs,ncbi,s3	gs.US,s3.us-east-1,ncbi.public	maturation	SRX7174753	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T34	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:12:00Z	1	T34	SRP230374	leaf
SRR10485022	MEDIUM TREATMENT	1	sibling	RNA-Seq	298	10668348618	PRJNA590281	SAMN13324087	Plant	4118070584	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GZ18	GZ18-10	fastq,sra,run.zq	s3,gs,ncbi	gs.US,s3.us-east-1,ncbi.public	maturation	SRX7174750	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T31	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:19:00Z	1	T31	SRP230374	leaf
SRR10485023	ONSET	1	sibling	RNA-Seq	298	12965267532	PRJNA590281	SAMN13324080	Plant	4859629393	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GZ18	GZ18-1	sra,fastq,run.zq	s3,ncbi,gs	ncbi.public,gs.US,s3.us-east-1	maturation	SRX7174749	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T04	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:21:00Z	1	T04	SRP230374	leaf
SRR10485024	MEDIUM TREATMENT	3	sibling	RNA-Seq	298	9284980860	PRJNA590281	SAMN13324028	Plant	3609501299	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GT31	GT31-12	run.zq,sra,fastq	ncbi,gs,s3	s3.us-east-1,gs.US,ncbi.public	maturation	SRX7174748	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T30	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:12:00Z	1	T30	SRP230374	leaf
SRR10485025	MEDIUM TREATMENT	2	sibling	RNA-Seq	298	9721882370	PRJNA590281	SAMN13324098	Plant	3815046592	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GT31	GT31-11	fastq,run.zq,sra	s3,ncbi,gs	gs.US,ncbi.public,s3.us-east-1	maturation	SRX7174747	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T29	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:14:00Z	1	T29	SRP230374	leaf
SRR10485026	MEDIUM TREATMENT	1	sibling	RNA-Seq	298	11226207762	PRJNA590281	SAMN13324100	Plant	4371014165	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GT31	GT31-10	fastq,sra,run.zq	gs,ncbi,s3	s3.us-east-1,gs.US,ncbi.public	maturation	SRX7174746	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T28	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:17:00Z	1	T28	SRP230374	leaf
SRR10485027	MILD CONTROL	3	sibling	RNA-Seq	298	12360952170	PRJNA590281	SAMN13324054	Plant	4796222125	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	F172	F172-9	run.zq,sra,fastq	ncbi,s3,gs	ncbi.public,s3.us-east-1,gs.US	maturation	SRX7174745	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T27	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:19:00Z	1	T27	SRP230374	leaf
SRR10485028	MILD CONTROL	2	sibling	RNA-Seq	298	9164612696	PRJNA590281	SAMN13324073	Plant	3612807975	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	F172	F172-8	sra,fastq,run.zq	s3,gs,ncbi	gs.US,s3.us-east-1,ncbi.public	maturation	SRX7174744	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T26	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:13:00Z	1	T26	SRP230374	leaf
SRR10485029	MILD CONTROL	1	sibling	RNA-Seq	297	8665823838	PRJNA590281	SAMN13324106	Plant	3357507093	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	F172	F172-7	fastq,run.zq,sra	ncbi,s3,gs	s3.us-east-1,ncbi.public,gs.US	maturation	SRX7174743	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T25	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:11:00Z	1	T25	SRP230374	leaf
SRR10485030	MILD CONTROL	3	sibling	RNA-Seq	298	11989195186	PRJNA590281	SAMN13324057	Plant	4665253176	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GZ18	GZ18-9	fastq,run.zq,sra	s3,ncbi,gs	ncbi.public,s3.us-east-1,gs.US	maturation	SRX7174742	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T24	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:19:00Z	1	T24	SRP230374	leaf
SRR10485031	MILD CONTROL	2	sibling	RNA-Seq	298	9939604114	PRJNA590281	SAMN13324070	Plant	3860090613	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GZ18	GZ18-8	fastq,run.zq,sra	gs,ncbi,s3	s3.us-east-1,gs.US,ncbi.public	maturation	SRX7174741	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T23	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:13:00Z	1	T23	SRP230374	leaf
SRR10485032	MILD CONTROL	1	sibling	RNA-Seq	298	9422795456	PRJNA590281	SAMN13324066	Plant	3700040633	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GZ18	GZ18-7	run.zq,fastq,sra	s3,ncbi,gs	gs.US,ncbi.public,s3.us-east-1	maturation	SRX7174740	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T22	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:12:00Z	1	T22	SRP230374	leaf
SRR10485033	MILD CONTROL	3	sibling	RNA-Seq	298	10351676558	PRJNA590281	SAMN13324034	Plant	4115706116	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GT31	GT31-9	fastq,run.zq,sra	gs,ncbi,s3	ncbi.public,s3.us-east-1,gs.US	maturation	SRX7174739	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T21	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:14:00Z	1	T21	SRP230374	leaf
SRR10485034	ONSET	3	sibling	RNA-Seq	298	12940392108	PRJNA590281	SAMN13324102	Plant	4877708293	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GT31	GT31-3	run.zq,fastq,sra	ncbi,s3,gs	ncbi.public,gs.US,s3.us-east-1	maturation	SRX7174738	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T03	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:18:00Z	1	T03	SRP230374	leaf
SRR10485035	MILD CONTROL	2	sibling	RNA-Seq	298	12309634946	PRJNA590281	SAMN13324067	Plant	4781630992	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GT31	GT31-8	fastq,run.zq,sra	gs,ncbi,s3	gs.US,s3.us-east-1,ncbi.public	maturation	SRX7174737	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T20	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:21:00Z	1	T20	SRP230374	leaf
SRR10485036	MILD CONTROL	1	sibling	RNA-Seq	298	11532731716	PRJNA590281	SAMN13324053	Plant	4496239113	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GT31	GT31-7	run.zq,sra,fastq	ncbi,gs,s3	s3.us-east-1,gs.US,ncbi.public	maturation	SRX7174736	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T19	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:17:00Z	1	T19	SRP230374	leaf
SRR10485037	MILD TREATMENT	3	sibling	RNA-Seq	298	9715876460	PRJNA590281	SAMN13324045	Plant	3771992078	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	F172	F172-6	fastq,sra,run.zq	gs,s3,ncbi	gs.US,ncbi.public,s3.us-east-1	maturation	SRX7174735	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T18	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:13:00Z	1	T18	SRP230374	leaf
SRR10485038	MILD TREATMENT	2	sibling	RNA-Seq	297	9072444746	PRJNA590281	SAMN13324074	Plant	3519105700	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	F172	F172-5	fastq,sra,run.zq	ncbi,gs,s3	gs.US,ncbi.public,s3.us-east-1	maturation	SRX7174734	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T17	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:16:00Z	1	T17	SRP230374	leaf
SRR10485039	MILD TREATMENT	1	sibling	RNA-Seq	298	10079134730	PRJNA590281	SAMN13324027	Plant	3936412798	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	F172	F172-4	sra,run.zq,fastq	gs,ncbi,s3	s3.us-east-1,gs.US,ncbi.public	maturation	SRX7174733	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T16	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:17:00Z	1	T16	SRP230374	leaf
SRR10485040	MILD TREATMENT	3	sibling	RNA-Seq	298	9752630164	PRJNA590281	SAMN13324096	Plant	3811857192	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GZ18	GZ18-6	fastq,sra,run.zq	ncbi,s3,gs	s3.us-east-1,ncbi.public,gs.US	maturation	SRX7174732	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T15	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:13:00Z	1	T15	SRP230374	leaf
SRR10485041	MILD TREATMENT	2	sibling	RNA-Seq	298	10981940172	PRJNA590281	SAMN13324043	Plant	4289866978	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GZ18	GZ18-5	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	maturation	SRX7174731	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T14	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:16:00Z	1	T14	SRP230374	leaf
SRR10485042	MILD TREATMENT	1	sibling	RNA-Seq	298	10083294034	PRJNA590281	SAMN13324104	Plant	3950910830	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GZ18	GZ18-4	fastq,sra,run.zq	ncbi,gs,s3	s3.us-east-1,gs.US,ncbi.public	maturation	SRX7174730	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T13	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:15:00Z	1	T13	SRP230374	leaf
SRR10485043	MILD TREATMENT	3	sibling	RNA-Seq	298	10017814814	PRJNA590281	SAMN13324049	Plant	3916112645	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GT31	GT31-6	run.zq,sra,fastq	s3,gs,ncbi	s3.us-east-1,ncbi.public,gs.US	maturation	SRX7174729	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T12	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:14:00Z	1	T12	SRP230374	leaf
